year,coef,se,ci_lower,ci_upper,p_value,outcome,wald_p_value
2002,-0.2170085053788015,0.14525506631566684,-0.5017084353575085,0.06769142459990551,0.148212452220723,mean,0.31706305820633207
2003,-0.11099733713323665,0.11607616532070088,-0.33850662116181035,0.11651194689533706,0.34848195331372733,mean,0.31706305820633207
2004,-0.13235694976879372,0.14014574208846858,-0.4070426042621922,0.1423287047246047,0.3543646593516967,mean,0.31706305820633207
2005,0.0,0.0,0.0,0.0,,mean,0.31706305820633207
2006,0.5219568874758941,0.0445006911708529,0.4347355327810224,0.6091782421707658,2.001899985515671e-11,mean,0.31706305820633207
2007,0.711520102774672,0.04280204342874259,0.6276280976543366,0.7954121078950075,1.1353138886369927e-14,mean,0.31706305820633207
2008,1.1325551537972491,0.05541364325283969,1.0239444130216833,1.241165894572815,1.0946051572205584e-16,mean,0.31706305820633207
2009,0.8155088461282208,0.08219608192419678,0.6544045255567952,0.9766131666996465,5.73211477092576e-10,mean,0.31706305820633207
2010,0.8910091565436877,0.09338365576215633,0.7079771912498614,1.074041121837514,1.2197075943318211e-09,mean,0.31706305820633207
2002,-0.0573198075199474,0.09711478616463178,-0.24766478840262568,0.1330251733627309,0.56055513219909,q10,0.22010929148815897
2003,-0.0029496814659878273,0.08407406393260204,-0.16773484677388784,0.16183548384191215,0.9723026801409387,q10,0.22010929148815897
2004,-0.16851889813208185,0.08472514485654853,-0.334580182050917,-0.0024576142132467227,0.05821619075644487,q10,0.22010929148815897
2005,0.0,0.0,0.0,0.0,,q10,0.22010929148815897
2006,1.3522374767805196,0.052384697293612593,1.2495634700850389,1.4549114834760004,5.106937142058644e-19,q10,0.22010929148815897
2007,1.3642209478537488,0.05594705331326013,1.254564723359759,1.4738771723477386,1.9096902677512205e-18,q10,0.22010929148815897
2008,1.3301392142752744,0.05692903083306619,1.2185583138424647,1.441720114708084,5.113502114784957e-18,q10,0.22010929148815897
2009,1.104746928722648,0.11025773247346413,0.8886417730746582,1.3208520843706375,4.730310820748631e-10,q10,0.22010929148815897
2010,0.9929436281721901,0.07115840420941172,0.8534731559217431,1.1324141004226371,5.182444781222239e-13,q10,0.22010929148815897
2002,0.04592864515781982,0.13216862108777686,-0.2131218521742228,0.3049791424898624,0.7312445180482344,q25,0.23482624066690916
2003,-0.13814390357780568,0.13526706822724804,-0.40326735730321184,0.1269795501476005,0.3173123883720197,q25,0.23482624066690916
2004,-0.28425354494551247,0.16038544126021356,-0.598609009815531,0.030101919924506115,0.08903832536848638,q25,0.23482624066690916
2005,0.0,0.0,0.0,0.0,,q25,0.23482624066690916
2006,1.32479673432613,0.055099161185281076,1.2168023784029791,1.4327910902492809,2.641806570632867e-18,q25,0.23482624066690916
2007,1.302641396437068,0.06187361876078801,1.1813691036659235,1.4239136892082125,5.570825258559729e-17,q25,0.23482624066690916
2008,1.3057399364768505,0.07099928341844428,1.1665813409766996,1.4448985319770014,1.1907402506719107e-15,q25,0.23482624066690916
2009,0.9588763629554015,0.07322822410250907,0.8153490437144837,1.1024036821963192,2.0101683600874372e-12,q25,0.23482624066690916
2010,1.261960907349889,0.11369685471151618,1.0391150721153173,1.4848067425844607,6.173928305456757e-11,q25,0.23482624066690916
