n_tiers,tier,panel,rate,ci_lower,ci_upper,n
6,T1,bottom,11.3573,11.1393,11.5789,80081
6,T1,top,9.8688,9.6641,10.0773,80081
6,T2,bottom,10.6201,10.4069,10.8372,78756
6,T2,top,9.2247,9.0246,9.4288,78756
6,T3,bottom,10.1958,9.9875,10.4079,79611
6,T3,top,9.1181,8.9201,9.3200,79611
6,T4,bottom,10.0969,9.8892,10.3084,79381
6,T4,top,9.5287,9.3264,9.7349,79381
6,T5,bottom,9.6432,9.4353,9.8551,75971
6,T5,top,10.7594,10.5410,10.9817,75971
6,T6,bottom,8.8587,8.6513,9.0705,70620
6,T6,top,12.4398,12.1984,12.6853,70620
8,T1,bottom,11.6619,11.4075,11.9213,59973
8,T1,top,10.3163,10.0754,10.5623,59973
8,T2,bottom,10.7967,10.5472,11.0513,58240
8,T2,top,9.0179,8.7879,9.2532,58240
8,T3,bottom,10.3350,10.0954,10.5795,60755
8,T3,top,9.3556,9.1266,9.5897,60755
8,T4,bottom,10.1126,9.8729,10.3575,59480
8,T4,top,8.9173,8.6909,9.1490,59480
8,T5,bottom,10.0617,9.8232,10.3053,59821
8,T5,top,9.4131,9.1817,9.6497,59821
8,T6,bottom,9.8365,9.5971,10.0812,58151
8,T6,top,10.1013,9.8590,10.3489,58151
8,T7,bottom,9.3780,9.1383,9.6234,55502
8,T7,top,11.5744,11.3109,11.8432,55502
8,T8,bottom,8.8632,8.6231,9.1093,52498
8,T8,top,12.5605,12.2797,12.8467,52498
10,T1,bottom,11.7812,11.4975,12.0709,48586
10,T1,top,10.3734,10.1054,10.6476,48586
10,T2,bottom,10.6468,10.3681,10.9320,45967
10,T2,top,8.9303,8.6730,9.1945,45967
10,T3,bottom,10.7739,10.5056,11.0482,50177
10,T3,top,9.0779,8.8296,9.3324,50177
10,T4,bottom,10.6438,10.3649,10.9294,45867
10,T4,top,9.5254,9.2601,9.7974,45867
10,T5,bottom,9.7595,9.4968,10.0286,47851
10,T5,top,9.1074,8.8529,9.3685,47851
10,T6,bottom,9.9875,9.7219,10.2594,47830
10,T6,top,9.6341,9.3729,9.9018,47830
10,T7,bottom,10.0094,9.7412,10.2841,46966
10,T7,top,9.6346,9.3711,9.9048,46966
10,T8,bottom,9.5831,9.3164,9.8565,45643
10,T8,top,10.8385,10.5566,11.1270,45643
10,T9,bottom,9.5234,9.2509,9.8030,43451
10,T9,top,11.7420,11.4426,12.0480,43451
10,T10,bottom,8.5714,8.3077,8.8426,42082
10,T10,top,12.6919,12.3772,13.0133,42082
