Rank,Brand,Prestige,Tier,Records,Models,% Elite,Mean MP,Median MP,Std MP
1,Vogue (American),"30,140",Elite,"5,200",762,92.9,805,425,"1,013"
2,Chanel,"15,726",Elite,"6,471","1,501",87.0,522,227,793
3,Dior,"11,433",Elite,"5,197","1,135",95.5,535,220,838
4,Vogue Italy,"10,301",Elite,"3,040","1,059",86.8,610,286,884
5,Versace,"9,738",Elite,"3,388","1,068",92.5,615,268,891
6,Vogue France,"9,339",Elite,"2,205",659,93.5,790,394,"1,021"
7,Dolce & Gabbana,"8,919",Elite,"5,936","1,946",75.7,372,119,684
8,Christian Dior,"8,659",Elite,"3,929","1,324",90.8,513,207,815
9,Valentino,"8,656",Elite,"4,211","1,507",88.7,463,172,773
10,Louis Vuitton,"8,312",Elite,"4,137","1,230",89.8,526,193,827
11,Vogue Italia,"7,927",Elite,"2,676",951,94.2,630,294,893
12,Prada,"7,809",Elite,"3,417","1,206",89.6,522,187,822
13,Fendi,"7,355",Elite,"3,195","1,260",93.5,548,239,821
14,Givenchy,"7,078",Elite,"2,926","1,178",89.2,539,219,846
15,Vogue UK,"6,845",Elite,"1,978",680,90.6,727,360,997
16,Michael Kors Collection,"6,580",Elite,"1,986",612,98.7,943,603,"1,019"
17,Marc Jacobs,"6,446",High,"2,664","1,026",86.5,596,239,889
18,British Vogue,"5,848",High,"1,891",686,96.2,701,331,974
19,Vogue Japan,"5,818",High,"1,905",728,92.3,773,403,992
20,Gucci,"5,700",High,"3,087","1,041",82.9,488,133,859
21,Lanvin,"5,700",High,"2,163",951,94.2,645,298,898
22,Carolina Herrera,"5,555",High,"2,117",794,93.3,697,382,912
23,Roberto Cavalli,"5,497",High,"1,949",801,94.4,707,354,944
24,Moschino,"5,493",High,"2,489",991,92.9,614,313,840
25,Oscar de la Renta,"5,262",High,"2,018",772,93.0,707,377,932
26,Miu Miu,"5,209",High,"2,479","1,051",87.5,562,222,865
27,Vogue China,"5,175",High,"1,583",534,88.4,825,360,"1,081"
28,V Magazine,"5,125",High,"1,963",945,88.4,629,288,910
29,Calvin Klein,"5,124",High,"2,046",912,91.0,617,260,913
30,Balenciaga,"5,114",High,"2,182",718,87.6,620,228,950
